Frequent Itemsets:
 support                                                                                      itemsets
                                                                       (Month_Nov)                                                    (SpecialDay_0.0, TrafficType_2) 0.100730    0.414276 1.382416
                                                                   (TrafficType_2)                                                        (SpecialDay_0.0, Month_Nov) 0.100730    0.317404 1.305399
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                                        (Month_Nov) 0.207380    0.273242 1.123774
                                        (VisitorType_Returning_Visitor, Month_Nov)                                                                   (SpecialDay_0.0) 0.207380    1.000000 1.112916
                                                                  (SpecialDay_0.0)                                         (VisitorType_Returning_Visitor, Month_Nov) 0.207380    0.230797 1.112916
                                                                       (Month_Nov)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.207380    0.852902 1.123774
                                                       (SpecialDay_0.0, Browser_1)                                                               (OperatingSystems_1) 0.159692    0.875111 4.174128
                                              (SpecialDay_0.0, OperatingSystems_1)                                                                        (Browser_1) 0.159692    0.830101 4.157249
                                                   (Browser_1, OperatingSystems_1)                                                                   (SpecialDay_0.0) 0.159692    0.914538 1.017804
                                                                  (SpecialDay_0.0)                                                    (Browser_1, OperatingSystems_1) 0.159692    0.177724 1.017804
                                                                       (Browser_1)                                               (SpecialDay_0.0, OperatingSystems_1) 0.159692    0.799756 4.157249
                                                              (OperatingSystems_1)                                                        (SpecialDay_0.0, Browser_1) 0.159692    0.761702 4.174128
                                                        (SpecialDay_0.0, Region_1)                                                               (OperatingSystems_1) 0.078913    0.227018 1.082837
                                              (SpecialDay_0.0, OperatingSystems_1)                                                                         (Region_1) 0.078913    0.410202 1.058116
                                                    (Region_1, OperatingSystems_1)                                                                   (SpecialDay_0.0) 0.078913    0.912758 1.015823
                                                                  (SpecialDay_0.0)                                                     (Region_1, OperatingSystems_1) 0.078913    0.087824 1.015823
                                                                        (Region_1)                                               (SpecialDay_0.0, OperatingSystems_1) 0.078913    0.203556 1.058116
                                                              (OperatingSystems_1)                                                         (SpecialDay_0.0, Region_1) 0.078913    0.376402 1.082837
                                              (SpecialDay_0.0, OperatingSystems_1)                                                                    (TrafficType_2) 0.070479    0.366358 1.154405
                                                   (SpecialDay_0.0, TrafficType_2)                                                               (OperatingSystems_1) 0.070479    0.235183 1.121780
                                               (TrafficType_2, OperatingSystems_1)                                                                   (SpecialDay_0.0) 0.070479    0.947655 1.054661
                                                                  (SpecialDay_0.0)                                                (TrafficType_2, OperatingSystems_1) 0.070479    0.078437 1.054661
                                                              (OperatingSystems_1)                                                    (SpecialDay_0.0, TrafficType_2) 0.070479    0.336170 1.121780
                                                                   (TrafficType_2)                                               (SpecialDay_0.0, OperatingSystems_1) 0.070479    0.222080 1.154405
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                               (OperatingSystems_1) 0.159448    0.210088 1.002081
                               (VisitorType_Returning_Visitor, OperatingSystems_1)                                                                   (SpecialDay_0.0) 0.159448    0.907664 1.010154
                                                                  (SpecialDay_0.0)                                (VisitorType_Returning_Visitor, OperatingSystems_1) 0.159448    0.177453 1.010154
                                                              (OperatingSystems_1)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.159448    0.760542 1.002081
                                                       (SpecialDay_0.0, Browser_2)                                                               (OperatingSystems_2) 0.366910    0.635126 1.186350
                                              (SpecialDay_0.0, OperatingSystems_2)                                                                        (Browser_2) 0.366910    0.767430 1.188596
                                                                       (Browser_2)                                               (SpecialDay_0.0, OperatingSystems_2) 0.366910    0.568270 1.188596
                                                              (OperatingSystems_2)                                                        (SpecialDay_0.0, Browser_2) 0.366910    0.685351 1.186350
                                                       (SpecialDay_0.0, Browser_4)                                                               (OperatingSystems_2) 0.053609    0.993985 1.856663
                                              (SpecialDay_0.0, OperatingSystems_2)                                                                        (Browser_4) 0.053609    0.112129 1.878464
                                                   (Browser_4, OperatingSystems_2)                                                                   (SpecialDay_0.0) 0.053609    0.903005 1.004970
                                                                  (SpecialDay_0.0)                                                    (Browser_4, OperatingSystems_2) 0.053609    0.059662 1.004970
                                                                       (Browser_4)                                               (SpecialDay_0.0, OperatingSystems_2) 0.053609    0.898098 1.878464
                                                              (OperatingSystems_2)                                                        (SpecialDay_0.0, Browser_4) 0.053609    0.100136 1.856663
                                              (SpecialDay_0.0, OperatingSystems_2)                                                                    (TrafficType_1) 0.113058    0.236472 1.189594
                                                   (SpecialDay_0.0, TrafficType_1)                                                               (OperatingSystems_2) 0.113058    0.608734 1.137053
                                               (OperatingSystems_2, TrafficType_1)                                                                   (SpecialDay_0.0) 0.113058    0.930574 1.035651
                                                                  (SpecialDay_0.0)                                                (OperatingSystems_2, TrafficType_1) 0.113058    0.125824 1.035651
                                                              (OperatingSystems_2)                                                    (SpecialDay_0.0, TrafficType_1) 0.113058    0.211180 1.137053
                                                                   (TrafficType_1)                                               (SpecialDay_0.0, OperatingSystems_2) 0.113058    0.568747 1.189594
                                              (SpecialDay_0.0, OperatingSystems_2)                                                                    (TrafficType_2) 0.170803    0.357252 1.125713
                                                   (SpecialDay_0.0, TrafficType_2)                                                               (OperatingSystems_2) 0.170803    0.569959 1.064626
                                               (OperatingSystems_2, TrafficType_2)                                                                   (SpecialDay_0.0) 0.170803    0.942282 1.048681
                                                                  (SpecialDay_0.0)                                                (OperatingSystems_2, TrafficType_2) 0.170803    0.190089 1.048681
                                                              (OperatingSystems_2)                                                    (SpecialDay_0.0, TrafficType_2) 0.170803    0.319043 1.064626
                                                                   (TrafficType_2)                                               (SpecialDay_0.0, OperatingSystems_2) 0.170803    0.538206 1.125713
                                         (SpecialDay_0.0, VisitorType_New_Visitor)                                                               (OperatingSystems_2) 0.072993    0.550122 1.027573
                                              (SpecialDay_0.0, OperatingSystems_2)                                                          (VisitorType_New_Visitor) 0.072993    0.152672 1.111241
                                     (VisitorType_New_Visitor, OperatingSystems_2)                                                                   (SpecialDay_0.0) 0.072993    0.961538 1.070112
                                                                  (SpecialDay_0.0)                                      (VisitorType_New_Visitor, OperatingSystems_2) 0.072993    0.081235 1.070112
                                                         (VisitorType_New_Visitor)                                               (SpecialDay_0.0, OperatingSystems_2) 0.072993    0.531287 1.111241
                                                              (OperatingSystems_2)                                          (SpecialDay_0.0, VisitorType_New_Visitor) 0.072993    0.136343 1.027573
                                                       (SpecialDay_0.0, Browser_2)                                                               (OperatingSystems_3) 0.173885    0.300997 1.452560
                                              (SpecialDay_0.0, OperatingSystems_3)                                                                        (Browser_2) 0.173885    0.945326 1.464122
                                                                       (Browser_2)                                               (SpecialDay_0.0, OperatingSystems_3) 0.173885    0.269313 1.464122
                                                              (OperatingSystems_3)                                                        (SpecialDay_0.0, Browser_2) 0.173885    0.839139 1.452560
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                               (OperatingSystems_3) 0.161638    0.212973 1.027771
                                              (SpecialDay_0.0, OperatingSystems_3)                                                    (VisitorType_Returning_Visitor) 0.161638    0.878748 1.026913
                                                   (VisitorType_Returning_Visitor)                                               (SpecialDay_0.0, OperatingSystems_3) 0.161638    0.188892 1.026913
                                                              (OperatingSystems_3)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.161638    0.780039 1.027771
                                                       (SpecialDay_0.0, Browser_1)                                                                         (Region_1) 0.077129    0.422667 1.090268
                                                        (SpecialDay_0.0, Region_1)                                                                        (Browser_1) 0.077129    0.221885 1.111229
                                                             (Browser_1, Region_1)                                                                   (SpecialDay_0.0) 0.077129    0.910048 1.012807
                                                                  (SpecialDay_0.0)                                                              (Browser_1, Region_1) 0.077129    0.085838 1.012807
                                                                       (Browser_1)                                                         (SpecialDay_0.0, Region_1) 0.077129    0.386271 1.111229
                                                                        (Region_1)                                                        (SpecialDay_0.0, Browser_1) 0.077129    0.198954 1.090268
                                                       (SpecialDay_0.0, Browser_1)                                                                    (TrafficType_2) 0.065693    0.360000 1.134373
                                                   (SpecialDay_0.0, TrafficType_2)                                                                        (Browser_1) 0.065693    0.219215 1.097857
                                                        (Browser_1, TrafficType_2)                                                                   (SpecialDay_0.0) 0.065693    0.944056 1.050655
                                                                  (SpecialDay_0.0)                                                         (Browser_1, TrafficType_2) 0.065693    0.073111 1.050655
                                                                       (Browser_1)                                                    (SpecialDay_0.0, TrafficType_2) 0.065693    0.329001 1.097857
                                                                   (TrafficType_2)                                                        (SpecialDay_0.0, Browser_1) 0.065693    0.207002 1.134373
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                                        (Browser_1) 0.151987    0.200256 1.002909
                                        (VisitorType_Returning_Visitor, Browser_1)                                                                   (SpecialDay_0.0) 0.151987    0.903133 1.005111
                                                                  (SpecialDay_0.0)                                         (VisitorType_Returning_Visitor, Browser_1) 0.151987    0.169149 1.005111
                                                                       (Browser_1)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.151987    0.761170 1.002909
                                                        (SpecialDay_0.0, Region_2)                                                                        (Browser_2) 0.053204    0.647581 1.002974
                                                                       (Browser_2)                                                         (SpecialDay_0.0, Region_2) 0.053204    0.082402 1.002974
                                                       (SpecialDay_0.0, Browser_2)                                                                    (TrafficType_1) 0.122547    0.212130 1.067140
                                                   (SpecialDay_0.0, TrafficType_1)                                                                        (Browser_2) 0.122547    0.659825 1.021938
                                                        (Browser_2, TrafficType_1)                                                                   (SpecialDay_0.0) 0.122547    0.933292 1.038676
                                                                  (SpecialDay_0.0)                                                         (Browser_2, TrafficType_1) 0.122547    0.136384 1.038676
                                                                       (Browser_2)                                                    (SpecialDay_0.0, TrafficType_1) 0.122547    0.189800 1.021938
                                                                   (TrafficType_1)                                                        (SpecialDay_0.0, Browser_2) 0.122547    0.616483 1.067140
                                                       (SpecialDay_0.0, Browser_2)                                                                    (TrafficType_2) 0.195783    0.338902 1.067893
                                                   (SpecialDay_0.0, TrafficType_2)                                                                        (Browser_2) 0.195783    0.653315 1.011855
                                                        (Browser_2, TrafficType_2)                                                                   (SpecialDay_0.0) 0.195783    0.948154 1.055216
                                                                  (SpecialDay_0.0)                                                         (Browser_2, TrafficType_2) 0.195783    0.217890 1.055216
                                                                       (Browser_2)                                                    (SpecialDay_0.0, TrafficType_2) 0.195783    0.303228 1.011855
                                                                   (TrafficType_2)                                                        (SpecialDay_0.0, Browser_2) 0.195783    0.616918 1.067893
                                                       (SpecialDay_0.0, Browser_2)                                                          (VisitorType_New_Visitor) 0.081427    0.140952 1.025936
                                              (VisitorType_New_Visitor, Browser_2)                                                                   (SpecialDay_0.0) 0.081427    0.967245 1.076462
                                                                  (SpecialDay_0.0)                                               (VisitorType_New_Visitor, Browser_2) 0.081427    0.090622 1.076462
                                                         (VisitorType_New_Visitor)                                                        (SpecialDay_0.0, Browser_2) 0.081427    0.592680 1.025936
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                                        (Browser_2) 0.494566    0.651635 1.009252
                                                       (SpecialDay_0.0, Browser_2)                                                    (VisitorType_Returning_Visitor) 0.494566    0.856100 1.000447
                                                   (VisitorType_Returning_Visitor)                                                        (SpecialDay_0.0, Browser_2) 0.494566    0.577955 1.000447
                                                                       (Browser_2)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.494566    0.765984 1.009252
                                                         (Region_1, TrafficType_1)                                                                   (SpecialDay_0.0) 0.066748    0.940571 1.046777
                                                                  (SpecialDay_0.0)                                                          (Region_1, TrafficType_1) 0.066748    0.074285 1.046777
                                                        (SpecialDay_0.0, Region_1)                                                                    (TrafficType_2) 0.118735    0.341577 1.076322
                                                   (SpecialDay_0.0, TrafficType_2)                                                                         (Region_1) 0.118735    0.396211 1.022026
                                                         (Region_1, TrafficType_2)                                                                   (SpecialDay_0.0) 0.118735    0.948801 1.055936
                                                                  (SpecialDay_0.0)                                                          (Region_1, TrafficType_2) 0.118735    0.132142 1.055936
                                                                        (Region_1)                                                    (SpecialDay_0.0, TrafficType_2) 0.118735    0.306276 1.022026
                                                                   (TrafficType_2)                                                         (SpecialDay_0.0, Region_1) 0.118735    0.374137 1.076322
                                                   (SpecialDay_0.0, TrafficType_3)                                                                         (Region_1) 0.059448    0.424928 1.096100
                                                        (SpecialDay_0.0, Region_1)                                                                    (TrafficType_3) 0.059448    0.171022 1.027632
                                                                   (TrafficType_3)                                                         (SpecialDay_0.0, Region_1) 0.059448    0.357212 1.027632
                                                                        (Region_1)                                                    (SpecialDay_0.0, TrafficType_3) 0.059448    0.153347 1.096100
                                         (SpecialDay_0.0, VisitorType_New_Visitor)                                                                         (Region_1) 0.051663    0.389364 1.004364
                                                        (SpecialDay_0.0, Region_1)                                                          (VisitorType_New_Visitor) 0.051663    0.148623 1.081775
                                               (VisitorType_New_Visitor, Region_1)                                                                   (SpecialDay_0.0) 0.051663    0.969559 1.079038
                                                                  (SpecialDay_0.0)                                                (VisitorType_New_Visitor, Region_1) 0.051663    0.057496 1.079038
                                                         (VisitorType_New_Visitor)                                                         (SpecialDay_0.0, Region_1) 0.051663    0.376033 1.081775
                                                                        (Region_1)                                          (SpecialDay_0.0, VisitorType_New_Visitor) 0.051663    0.133264 1.004364
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                                         (Region_1) 0.295296    0.389079 1.003628
                                                                        (Region_1)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.295296    0.761715 1.003628
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                                         (Region_2) 0.070235    0.092541 1.004430
                                                                        (Region_2)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.070235    0.762324 1.004430
                                                        (Region_3, SpecialDay_0.0)                                                                    (TrafficType_2) 0.058475    0.336287 1.059653
                                                         (Region_3, TrafficType_2)                                                                   (SpecialDay_0.0) 0.058475    0.926735 1.031379
                                                   (SpecialDay_0.0, TrafficType_2)                                                                         (Region_3) 0.058475    0.195129 1.001221
                                                                        (Region_3)                                                    (SpecialDay_0.0, TrafficType_2) 0.058475    0.300042 1.001221
                                                                  (SpecialDay_0.0)                                                          (Region_3, TrafficType_2) 0.058475    0.065078 1.031379
                                                                   (TrafficType_2)                                                         (Region_3, SpecialDay_0.0) 0.058475    0.184258 1.059653
                                                        (Region_3, SpecialDay_0.0)                                                    (VisitorType_Returning_Visitor) 0.149148    0.857743 1.002366
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                                         (Region_3) 0.149148    0.196516 1.008342
                                                                        (Region_3)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.149148    0.765293 1.008342
                                                   (VisitorType_Returning_Visitor)                                                         (Region_3, SpecialDay_0.0) 0.149148    0.174296 1.002366
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                                         (Region_4) 0.075101    0.098953 1.032223
                                                        (SpecialDay_0.0, Region_4)                                                    (VisitorType_Returning_Visitor) 0.075101    0.868668 1.015134
                                                   (VisitorType_Returning_Visitor)                                                         (SpecialDay_0.0, Region_4) 0.075101    0.087764 1.015134
                                                                        (Region_4)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.075101    0.783418 1.032223
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                                    (TrafficType_1) 0.182157    0.240009 1.207387
                                                   (SpecialDay_0.0, TrafficType_1)                                                    (VisitorType_Returning_Visitor) 0.182157    0.980786 1.146156
                                    (VisitorType_Returning_Visitor, TrafficType_1)                                                                   (SpecialDay_0.0) 0.182157    0.933112 1.038475
                                                                  (SpecialDay_0.0)                                     (VisitorType_Returning_Visitor, TrafficType_1) 0.182157    0.202726 1.038475
                                                   (VisitorType_Returning_Visitor)                                                    (SpecialDay_0.0, TrafficType_1) 0.182157    0.212871 1.146156
                                                                   (TrafficType_1)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.182157    0.916361 1.207387
                                         (SpecialDay_0.0, VisitorType_New_Visitor)                                                                    (TrafficType_2) 0.073804    0.556235 1.752715
                                                   (SpecialDay_0.0, TrafficType_2)                                                          (VisitorType_New_Visitor) 0.073804    0.246279 1.792572
                                          (VisitorType_New_Visitor, TrafficType_2)                                                                   (SpecialDay_0.0) 0.073804    0.972222 1.082002
                                                                  (SpecialDay_0.0)                                           (VisitorType_New_Visitor, TrafficType_2) 0.073804    0.082137 1.082002
                                                         (VisitorType_New_Visitor)                                                    (SpecialDay_0.0, TrafficType_2) 0.073804    0.537190 1.792572
                                                                   (TrafficType_2)                                          (SpecialDay_0.0, VisitorType_New_Visitor) 0.073804    0.232558 1.752715
                                    (VisitorType_Returning_Visitor, TrafficType_2)                                                                   (SpecialDay_0.0) 0.224980    0.935266 1.040873
                                                                  (SpecialDay_0.0)                                     (VisitorType_Returning_Visitor, TrafficType_2) 0.224980    0.250384 1.040873
                                   (SpecialDay_0.0, VisitorType_Returning_Visitor)                                                                    (TrafficType_3) 0.128548    0.169374 1.017729
                                                   (SpecialDay_0.0, TrafficType_3)                                                    (VisitorType_Returning_Visitor) 0.128548    0.918841 1.073766
                                                   (VisitorType_Returning_Visitor)                                                    (SpecialDay_0.0, TrafficType_3) 0.128548    0.150223 1.073766
                                                                   (TrafficType_3)                                    (SpecialDay_0.0, VisitorType_Returning_Visitor) 0.128548    0.772417 1.017729
                                                   (SpecialDay_0.0, TrafficType_4)                                                    (VisitorType_Returning_Visitor) 0.061638    0.894118 1.044874
                                                   (VisitorType_Returning_Visitor)                                                    (SpecialDay_0.0, TrafficType_4) 0.061638    0.072031 1.044874
                                                            (Browser_2, Month_Dec)                                                               (OperatingSystems_2) 0.056285    0.637868 1.191472
                                                   (Month_Dec, OperatingSystems_2)                                                                        (Browser_2) 0.056285    0.799539 1.238327
                                                                       (Browser_2)                                                    (Month_Dec, OperatingSystems_2) 0.056285    0.087175 1.238327
                                                              (OperatingSystems_2)                                                             (Browser_2, Month_Dec) 0.056285    0.105136 1.191472
                                        (VisitorType_Returning_Visitor, Month_Dec)                                                                        (Browser_2) 0.070479    0.653383 1.011961
                                                                       (Browser_2)                                         (VisitorType_Returning_Visitor, Month_Dec) 0.070479    0.109157 1.011961
                                                            (Month_Mar, Browser_2)                                                               (OperatingSystems_2) 0.064882    0.652529 1.218857
                                                   (Month_Mar, OperatingSystems_2)                                                                        (Browser_2) 0.064882    0.747664 1.157982
                                                   (Browser_2, OperatingSystems_2)                                                                        (Month_Mar) 0.064882    0.158134 1.022440
                                                                       (Month_Mar)                                                    (Browser_2, OperatingSystems_2) 0.064882    0.419507 1.022440
                                                                       (Browser_2)                                                    (Month_Mar, OperatingSystems_2) 0.064882    0.100490 1.157982
                                                              (OperatingSystems_2)                                                             (Month_Mar, Browser_2) 0.064882    0.121194 1.218857
                                        (Month_Mar, VisitorType_Returning_Visitor)                                                               (OperatingSystems_2) 0.076642    0.564179 1.053829
                                                   (Month_Mar, OperatingSystems_2)                                                    (VisitorType_Returning_Visitor) 0.076642    0.883178 1.032090
                               (VisitorType_Returning_Visitor, OperatingSystems_2)                                                                        (Month_Mar) 0.076642    0.167286 1.081615
                                                                       (Month_Mar)                                (VisitorType_Returning_Visitor, OperatingSystems_2) 0.076642    0.495543 1.081615
                                                   (VisitorType_Returning_Visitor)                                                    (Month_Mar, OperatingSystems_2) 0.076642    0.089565 1.032090
                                                              (OperatingSystems_2)                                         (Month_Mar, VisitorType_Returning_Visitor) 0.076642    0.143160 1.053829
                                                            (Month_Mar, Browser_2)                                                    (VisitorType_Returning_Visitor) 0.086537    0.870310 1.017053
                                                   (VisitorType_Returning_Visitor)                                                             (Month_Mar, Browser_2) 0.086537    0.101128 1.017053
                                        (Month_Mar, VisitorType_Returning_Visitor)                                                                         (Region_1) 0.054663    0.402388 1.037959
                                                             (Month_Mar, Region_1)                                                    (VisitorType_Returning_Visitor) 0.054663    0.866324 1.012394
                                         (VisitorType_Returning_Visitor, Region_1)                                                                        (Month_Mar) 0.054663    0.163791 1.059016
                                                                       (Month_Mar)                                          (VisitorType_Returning_Visitor, Region_1) 0.054663    0.353435 1.059016
                                                   (VisitorType_Returning_Visitor)                                                              (Month_Mar, Region_1) 0.054663    0.063880 1.012394
                                                                        (Region_1)                                         (Month_Mar, VisitorType_Returning_Visitor) 0.054663    0.141004 1.037959
                                        (Month_Mar, VisitorType_Returning_Visitor)                                                                    (TrafficType_1) 0.052960    0.389851 1.961183
                                                        (Month_Mar, TrafficType_1)                                                    (VisitorType_Returning_Visitor) 0.052960    0.993912 1.161495
                                    (VisitorType_Returning_Visitor, TrafficType_1)                                                                        (Month_Mar) 0.052960    0.271292 1.754080
                                                                       (Month_Mar)                                     (VisitorType_Returning_Visitor, TrafficType_1) 0.052960    0.342423 1.754080
                                                   (VisitorType_Returning_Visitor)                                                         (Month_Mar, TrafficType_1) 0.052960    0.061890 1.161495
                                                                   (TrafficType_1)                                         (Month_Mar, VisitorType_Returning_Visitor) 0.052960    0.266422 1.961183
                                                            (Browser_2, Month_May)                                                               (OperatingSystems_2) 0.114842    0.646575 1.207737
                                                   (Browser_2, OperatingSystems_2)                                                                        (Month_May) 0.114842    0.279897 1.025901
                                                   (Month_May, OperatingSystems_2)                                                                        (Browser_2) 0.114842    0.746835 1.156699
                                                                       (Browser_2)                                                    (Month_May, OperatingSystems_2) 0.114842    0.177867 1.156699
                                                                       (Month_May)                                                    (Browser_2, OperatingSystems_2) 0.114842    0.420927 1.025901
                                                              (OperatingSystems_2)                                                             (Browser_2, Month_May) 0.114842    0.214513 1.207737
                                                             (Month_May, Region_1)                                                               (OperatingSystems_2) 0.054096    0.543602 1.015394
                                                              (OperatingSystems_2)                                                              (Month_May, Region_1) 0.054096    0.101045 1.015394
                                        (VisitorType_Returning_Visitor, Month_May)                                                               (OperatingSystems_2) 0.138686    0.561576 1.048968
                               (VisitorType_Returning_Visitor, OperatingSystems_2)                                                                        (Month_May) 0.138686    0.302708 1.109511
                                                   (Month_May, OperatingSystems_2)                                                    (VisitorType_Returning_Visitor) 0.138686    0.901899 1.053968
                                                   (VisitorType_Returning_Visitor)                                                    (Month_May, OperatingSystems_2) 0.138686    0.162070 1.053968
                                                                       (Month_May)                                (VisitorType_Returning_Visitor, OperatingSystems_2) 0.138686    0.508323 1.109511
                                                              (OperatingSystems_2)                                         (VisitorType_Returning_Visitor, Month_May) 0.138686    0.259052 1.048968
                                                            (Browser_2, Month_May)                                                               (OperatingSystems_3) 0.053771    0.302740 1.460971
                                                   (Browser_2, OperatingSystems_3)                                                                        (Month_May) 0.053771    0.274421 1.005828
                                                   (Month_May, OperatingSystems_3)                                                                        (Browser_2) 0.053771    0.937765 1.452411
                                                                       (Browser_2)                                                    (Month_May, OperatingSystems_3) 0.053771    0.083281 1.452411
                                                                       (Month_May)                                                    (Browser_2, OperatingSystems_3) 0.053771    0.197087 1.005828
                                                              (OperatingSystems_3)                                                             (Browser_2, Month_May) 0.053771    0.259491 1.460971
                                        (VisitorType_Returning_Visitor, Month_May)                                                               (OperatingSystems_3) 0.053041    0.214778 1.036484
                               (VisitorType_Returning_Visitor, OperatingSystems_3)                                                                        (Month_May) 0.053041    0.287473 1.053667
                                                   (Month_May, OperatingSystems_3)                                                    (VisitorType_Returning_Visitor) 0.053041    0.925035 1.081005
                                                   (VisitorType_Returning_Visitor)                                                    (Month_May, OperatingSystems_3) 0.053041    0.061985 1.081005
                                                                       (Month_May)                                (VisitorType_Returning_Visitor, OperatingSystems_3) 0.053041    0.194411 1.053667
                                                              (OperatingSystems_3)                                         (VisitorType_Returning_Visitor, Month_May) 0.053041    0.255969 1.036484
                                        (VisitorType_Returning_Visitor, Browser_2)                                                                        (Month_May) 0.162287    0.289916 1.062623
                                        (VisitorType_Returning_Visitor, Month_May)                                                                        (Browser_2) 0.162287    0.657143 1.017783
                                                            (Browser_2, Month_May)                                                    (VisitorType_Returning_Visitor) 0.162287    0.913699 1.067757
                                                   (VisitorType_Returning_Visitor)                                                             (Browser_2, Month_May) 0.162287    0.189650 1.067757
                                                                       (Browser_2)                                         (VisitorType_Returning_Visitor, Month_May) 0.162287    0.251350 1.017783
                                                                       (Month_May)                                         (VisitorType_Returning_Visitor, Browser_2) 0.162287    0.594828 1.062623
                                                             (Month_May, Region_1)                                                    (VisitorType_Returning_Visitor) 0.089781    0.902200 1.054320
                                                   (VisitorType_Returning_Visitor)                                                              (Month_May, Region_1) 0.089781    0.104919 1.054320
                                        (VisitorType_Returning_Visitor, Month_May)                                                                    (TrafficType_3) 0.055150    0.223317 1.341860
                                    (VisitorType_Returning_Visitor, TrafficType_3)                                                                        (Month_May) 0.055150    0.356955 1.308341
                                                        (TrafficType_3, Month_May)                                                    (VisitorType_Returning_Visitor) 0.055150    0.928962 1.085594
                                                   (VisitorType_Returning_Visitor)                                                         (TrafficType_3, Month_May) 0.055150    0.064449 1.085594
                                                                       (Month_May)                                     (VisitorType_Returning_Visitor, TrafficType_3) 0.055150    0.202140 1.308341
                                                                   (TrafficType_3)                                         (VisitorType_Returning_Visitor, Month_May) 0.055150    0.331384 1.341860
